"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"BF_LH","m^{3}.s^{-1}","Base flow (Lyne and Hollick)","","1. no temporal aggregation - extraction of the base flow (Lyne and Hollick)",NA,"Flow, Base Flow, Intensity","QB_LH","m^{3}.s^{-1}","Débit de base (Lyne et Hollick)","","1. aucune agrégation temporelle - extraction du débit de base (Lyne et Hollick)",NA,"Débit, Débit de Base, Intensité",NA,NA,FALSE,FALSE,NA,"Flow/Baseflow/serie/BF_LH.R"
"centerBF","yearday","Center of low flows","Date when 50 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 50 % of the total sum","09-01, 08-31","Flow, Baseflow, Seasonality","centreQB","jour de l'année","Centre des écoulements lents","Date à laquelle 50 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 50 % de la somme totale","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/serie/centerBF.R"
"dtBF","day","Duration of low flows","Duration between the start and end of low flows","1. annual aggregation [09-01, 08-31] - number of days between the dates when the baseflow (Wallingford) sum corresponds to 10 % and 90 % of the total sum","09-01, 08-31","Flow, Baseflow, Duration","dtQB","jour","Durée des écoulements lents","Durée entre le début et la fin des écoulements lents","1. agrégation annuelle [01-09, 31-08] - nombre de jours entre les dates auxquelles la somme du débit de base (Wallingford) correspond à 10 % et 90 % de la somme totale","01-09, 31-08","Débit, Débit de Base, Durée","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/serie/dtBF.R"
"dtRec","day","Recession time","","",NA,"Flow, Base Flow, Duration","dtRec","jour","Temps de récession","","",NA,"Débit, Débit de Base, Durée",NA,NA,FALSE,TRUE,NA,"Flow/Baseflow/serie/dtRec.R"
"endBF","yearday","End of Base Flow","Date when 90 % of the annual cumulative base flow is reached","1. annual aggregation [09-01, 08-31] - date when the sum of base flow (Wallingford) Qb corresponds to 90 % of the total sum","09-01, 08-31","Flow, Baseflow, Seasonality","finQB","jour de l'année","Fin des écoulements lents","Date à laquelle 90 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb correspond à 90 % de la somme totale","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/serie/endBF.R"
"startBF","yearday","Start of low flows","Date when 10 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 10 % of the total sum","09-01, 08-31","Flow, Baseflow, Seasonality","debutQB","jour de l'année","Début des écoulements lents","Date à laquelle 10 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 10 % de la somme totale","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/serie/startBF.R"
"vBF","hm^{3}","Annual volume generated by the baseflow","","1. annual aggregation [09-01, 08-31] - sum of volumes discharged each day for base flow (Wallingford)","09-01, 08-31","Flow, Baseflow, Intensity","vQB","hm^{3}","Volume annuel généré par le débit de base","","1. agrégation annuelle [01-09, 31-08] - somme des volumes écoulés chaque jour pour le débit de base (Wallingford)","01-09, 31-08","Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/serie/vBF.R"
"alphaQJXA","m^{3}.s^{-1}.year^{-1}","Slope of Sen and Mann-Kendall Test result calculated on the series of annual maximum daily flows QJXA","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the series of QJXA)
2. no temporal aggregation - Sen's slope","Month of minimum monthly flows","Flow, High Flows, Intensity","alphaQJXA","m^{3}.s^{-1}.an^{-1}","Pente de Sen et résultat du test de Mann-Kendall calculés sur la série des débits journaliers maximaux annuels QJXA","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - pente de Sen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité","KENDALL, M. G. (1975). « Rank Correlation Methods ». Griffin, London, UK.
MANN, H. (1945). « Nonparametric tests against trend ». Econometrica, 13(3):245–259.
SEN, P. K. (1968). « Estimates of the regression coefficient based on Kendall’s tau ». In : Journal of the American Statistical Association 63, p. 1379-1389. DOI : doi:10.2307/2285891.",9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/alphaQJXA.R"
"HYPalphaQJXA","m^{3}.s^{-1}.year^{-1}","Slope of Sen and Mann-Kendall Test result calculated on the series of annual maximum daily flows QJXA","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the series of QJXA)
2. no temporal aggregation - Sen's slope","Month of minimum monthly flows","Flow, High Flows, Intensity","HYPalphaQJXA","m^{3}.s^{-1}.an^{-1}","Pente de Sen et résultat du test de Mann-Kendall calculés sur la série des débits journaliers maximaux annuels QJXA","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - pente de Sen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité","KENDALL, M. G. (1975). « Rank Correlation Methods ». Griffin, London, UK.
MANN, H. (1945). « Nonparametric tests against trend ». Econometrica, 13(3):245–259.
SEN, P. K. (1968). « Estimates of the regression coefficient based on Kendall’s tau ». In : Journal of the American Statistical Association 63, p. 1379-1389. DOI : doi:10.2307/2285891.",9,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/alphaQJXA.R"
"delta{dtFlood}_H1","day","Average change of the duration of floods between the near horizon and historical period","Duration of floods, sampled by annual maxima. The series exploited is the difference between the raw flow and the base flow, assimilated to runoff Qr. Floods are identified based on the annual maximum in the Qr series, and for each flood, the duration is defined as the number of days where Qr is above half of the annual maxima.","1. no temporal aggregation - Qr difference between daily flow values and base flow
2. annual aggregation [Month of minimum monthly flows] - maximum Qr
3. annual aggregation [Month of minimum monthly flows] - division by two of the annual maxima to obtain a threshold
4. annual aggregation [Month of minimum monthly flows] - number of days where the difference is above the threshold
5. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Duration","delta{dtCrue}_H1","jour","Changement moyen de la durée des crues entre l'horizon proche et la période historique","Durée des crues, échantillonnées par maxima annuel. La série exploitée est la différence entre le débit brut et le débit de base, assimilé au ruissellement Qr. Les crues sont identifiées sur la base du maximum annuel dans la série des Qr et pour chaque crue, la durée est définie comme le nombre de jours où Qr est supérieur au maxima annuel divisé par 2.","1. aucune agrégation temporelle - différence Qr entre les valeurs journalières de débit par le débit de base
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum de Qr
3. agrégation annuelle [Mois du minimum des débits mensuels] - division par deux des maxima annuels pour obtenir un seuil
4. agrégation annuelle [Mois du minimum des débits mensuels] - nombre de jours où la différence est supérieure au seuil
5. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Durée",NA,9,FALSE,TRUE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{dtFlood}_H.R"
"delta{dtFlood}_H2","day","Average change of the duration of floods between the middle horizon and historical period","Duration of floods, sampled by annual maxima. The series exploited is the difference between the raw flow and the base flow, assimilated to runoff Qr. Floods are identified based on the annual maximum in the Qr series, and for each flood, the duration is defined as the number of days where Qr is above half of the annual maxima.","1. no temporal aggregation - Qr difference between daily flow values and base flow
2. annual aggregation [Month of minimum monthly flows] - maximum Qr
3. annual aggregation [Month of minimum monthly flows] - division by two of the annual maxima to obtain a threshold
4. annual aggregation [Month of minimum monthly flows] - number of days where the difference is above the threshold
5. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Duration","delta{dtCrue}_H2","jour","Changement moyen de la durée des crues entre l'horizon moyen et la période historique","Durée des crues, échantillonnées par maxima annuel. La série exploitée est la différence entre le débit brut et le débit de base, assimilé au ruissellement Qr. Les crues sont identifiées sur la base du maximum annuel dans la série des Qr et pour chaque crue, la durée est définie comme le nombre de jours où Qr est supérieur au maxima annuel divisé par 2.","1. aucune agrégation temporelle - différence Qr entre les valeurs journalières de débit par le débit de base
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum de Qr
3. agrégation annuelle [Mois du minimum des débits mensuels] - division par deux des maxima annuels pour obtenir un seuil
4. agrégation annuelle [Mois du minimum des débits mensuels] - nombre de jours où la différence est supérieure au seuil
5. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Durée",NA,9,FALSE,TRUE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{dtFlood}_H.R"
"delta{dtFlood}_H3","day","Average change of the duration of floods between the distant horizon and historical period","Duration of floods, sampled by annual maxima. The series exploited is the difference between the raw flow and the base flow, assimilated to runoff Qr. Floods are identified based on the annual maximum in the Qr series, and for each flood, the duration is defined as the number of days where Qr is above half of the annual maxima.","1. no temporal aggregation - Qr difference between daily flow values and base flow
2. annual aggregation [Month of minimum monthly flows] - maximum Qr
3. annual aggregation [Month of minimum monthly flows] - division by two of the annual maxima to obtain a threshold
4. annual aggregation [Month of minimum monthly flows] - number of days where the difference is above the threshold
5. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Duration","delta{dtCrue}_H3","jour","Changement moyen de la durée des crues entre l'horizon lointain et la période historique","Durée des crues, échantillonnées par maxima annuel. La série exploitée est la différence entre le débit brut et le débit de base, assimilé au ruissellement Qr. Les crues sont identifiées sur la base du maximum annuel dans la série des Qr et pour chaque crue, la durée est définie comme le nombre de jours où Qr est supérieur au maxima annuel divisé par 2.","1. aucune agrégation temporelle - différence Qr entre les valeurs journalières de débit par le débit de base
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum de Qr
3. agrégation annuelle [Mois du minimum des débits mensuels] - division par deux des maxima annuels pour obtenir un seuil
4. agrégation annuelle [Mois du minimum des débits mensuels] - nombre de jours où la différence est supérieure au seuil
5. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Durée",NA,9,FALSE,TRUE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{dtFlood}_H.R"
